"_id","seat","name","contact","token","createdAt","updatedAt","__v","startTime","endTime","date"
"67f246f80f55c6d79f1626a7",19,"atharv","7827910168","f7687297-c82d-406a-9b84-bcc9b0648dee","2025-04-06T09:18:48.988Z","2025-04-06T09:18:48.988Z",0,,,
"67f247330f55c6d79f1626b0",11,"atharv","77","82163791-5663-4720-a8bf-379af4305735","2025-04-06T09:19:47.036Z","2025-04-06T09:19:47.036Z",0,,,
"67f2b6f461c63ad974ef5c2f",22,"Tarushi","1234566890","abcd1234","2025-04-06T17:16:36.337Z","2025-04-06T17:16:36.337Z",0,"10:00","11:00","2025-04-10"
"67f3556cc535acc5e7d2cca2",3,"hbjh","8989898989","640e7060-c3e5-4882-9c1c-43f7352bffec","2025-04-07T04:32:44.235Z","2025-04-07T04:32:44.235Z",0,,,
"67f35579c535acc5e7d2cca6",26,"jhb","kjnjhbhjb","ec759e77-54a9-436b-9c2f-9cc71de2e8e8","2025-04-07T04:32:57.435Z","2025-04-07T04:32:57.435Z",0,,,
"67f355c24f517ee1da35580b",12,"Tarushi","9876543210","abc123xyz789","2025-04-07T04:34:10.772Z","2025-04-07T04:34:10.772Z",0,,,
"67f355d24f517ee1da35580f",4,"bjbk","k","982ae46d-9bb1-4c5f-83e5-14e41027bccf","2025-04-07T04:34:26.475Z","2025-04-07T04:34:26.475Z",0,,,
"67f356454f517ee1da355814",5,"njnk","knk","830f65c7-b55b-462e-88cd-88884e54fdb0","2025-04-07T04:36:21.777Z","2025-04-07T04:36:21.777Z",0,,,
"67f35c848b7009e9be487fce",27,"mn","hhg","046ac93c-72c0-48b6-aae9-2e2766fed075","2025-04-07T05:03:00.579Z","2025-04-07T05:03:00.579Z",0,,,
"67f35cee79d01bfa93db3f5f",13,"jj","hh","5ec30353-3268-44ca-a79a-0deba8688ecc","2025-04-07T05:04:46.568Z","2025-04-07T05:04:46.568Z",0,,,
